Date,Rate
2021-06-02, 0.50
2021-06-01, 0.50
2021-05-31, 0.50
2021-05-28, 0.50
2021-05-27, 0.50
2021-05-26, 0.50
2021-05-25, 0.50
2021-05-24, 0.50
2021-05-21, 0.50
2021-05-20, 0.50
2021-05-19, 0.50
2021-05-18, 0.50
2021-05-17, 0.50
2021-05-14, 0.50
2021-05-13, 0.50
2021-05-12, 0.50
2021-05-11, 0.50
2021-05-10, 0.50
2021-05-07, 0.50
2021-05-06, 0.50
2021-05-05, 0.50
2021-05-04, 0.50
2021-05-03, 0.50
2021-04-30, 0.50
2021-04-29, 0.50
2021-04-28, 0.50
2021-04-27, 0.50
2021-04-26, 0.50
2021-04-23, 0.50
2021-04-22, 0.50
2021-04-21, 0.50
2021-04-20, 0.50
2021-04-19, 0.50
2021-04-16, 0.50
2021-04-15, 0.50
2021-04-14, 0.50
2021-04-13, 0.50
2021-04-12, 0.50
2021-04-09, 0.50
2021-04-08, 0.50
2021-04-07, 0.50
2021-04-06, 0.50
2021-04-05, 0.50
2021-04-02, 0.50
2021-04-01, 0.50
2021-03-31, 0.50
2021-03-30, 0.50
2021-03-29, 0.50
2021-03-26, 0.50
2021-03-25, 0.50
2021-03-24, 0.50
2021-03-23, 0.50
2021-03-22, 0.50
2021-03-19, 0.50
2021-03-18, 0.50
2021-03-17, 0.50
2021-03-16, 0.50
2021-03-15, 0.50
2021-03-12, 0.50
2021-03-11, 0.50
2021-03-10, 0.50
2021-03-09, 0.50
2021-03-08, 0.50
2021-03-05, 0.50
2021-03-04, 0.50
2021-03-03, 0.50
2021-03-02, 0.50
2021-03-01, 0.50
2021-02-26, 0.50
2021-02-25, 0.50
2021-02-24, 0.50
2021-02-23, 0.50
2021-02-22, 0.50
2021-02-19, 0.50
2021-02-18, 0.50
2021-02-17, 0.50
2021-02-16, 0.50
2021-02-15, 0.50
2021-02-12, 0.50
2021-02-11, 0.50
2021-02-10, 0.50
2021-02-09, 0.50
2021-02-08, 0.50
2021-02-05, 0.50
2021-02-04, 0.50
2021-02-03, 0.50
2021-02-02, 0.50
2021-02-01, 0.50
2021-01-29, 0.50
2021-01-28, 0.50
2021-01-27, 0.50
2021-01-26, 0.50
2021-01-25, 0.50
2021-01-22, 0.50
2021-01-21, 0.50
2021-01-20, 0.50
2021-01-19, 0.50
2021-01-18, 0.50
2021-01-15, 0.50
2021-01-14, 0.50
2021-01-13, 0.50
2021-01-12, 0.50
2021-01-11, 0.50
2021-01-08, 0.50
2021-01-07, 0.50
2021-01-06, 0.50
2021-01-05, 0.50
2021-01-04, 0.50
2021-01-01, 0.50
2020-12-31, 0.50
2020-12-30, 0.50
2020-12-29, 0.50
2020-12-28, 0.50
2020-12-25, 0.50
2020-12-24, 0.50
2020-12-23, 0.50
2020-12-22, 0.50
2020-12-21, 0.50
2020-12-18, 0.50
2020-12-17, 0.50
2020-12-16, 0.50
2020-12-15, 0.50
2020-12-14, 0.50
2020-12-11, 0.50
2020-12-10, 0.50
2020-12-09, 0.50
2020-12-08, 0.50
2020-12-07, 0.50
2020-12-04, 0.50
2020-12-03, 0.50
2020-12-02, 0.50
2020-12-01, 0.50
2020-11-30, 0.50
2020-11-27, 0.50
2020-11-26, 0.50
2020-11-25, 0.50
2020-11-24, 0.50
2020-11-23, 0.50
2020-11-20, 0.50
2020-11-19, 0.50
2020-11-18, 0.50
2020-11-17, 0.50
2020-11-16, 0.50
2020-11-13, 0.50
2020-11-12, 0.50
2020-11-11, 0.50
2020-11-10, 0.50
2020-11-09, 0.50
2020-11-06, 0.50
2020-11-05, 0.50
2020-11-04, 0.50
2020-11-03, 0.50
2020-11-02, 0.50
2020-10-30, 0.50
2020-10-29, 0.50
2020-10-28, 0.50
2020-10-27, 0.50
2020-10-26, 0.50
2020-10-23, 0.50
2020-10-22, 0.50
2020-10-21, 0.50
2020-10-20, 0.50
2020-10-19, 0.50
2020-10-16, 0.50
2020-10-15, 0.50
2020-10-14, 0.50
2020-10-13, 0.50
2020-10-12, 0.50
2020-10-09, 0.50
2020-10-08, 0.50
2020-10-07, 0.50
2020-10-06, 0.50
2020-10-05, 0.50
2020-10-02, 0.50
2020-10-01, 0.50
2020-09-30, 0.50
2020-09-29, 0.50
2020-09-28, 0.50
2020-09-25, 0.50
2020-09-24, 0.50
2020-09-23, 0.50
2020-09-22, 0.50
2020-09-21, 0.50
2020-09-18, 0.50
2020-09-17, 0.50
2020-09-16, 0.50
2020-09-15, 0.50
2020-09-14, 0.50
2020-09-11, 0.50
2020-09-10, 0.50
2020-09-09, 0.50
2020-09-08, 0.50
2020-09-07, 0.50
2020-09-04, 0.50
2020-09-03, 0.50
2020-09-02, 0.50
2020-09-01, 0.50
2020-08-31, 0.50
2020-08-28, 0.50
2020-08-27, 0.50
2020-08-26, 0.50
2020-08-25, 0.50
2020-08-24, 0.50
2020-08-21, 0.50
2020-08-20, 0.50
2020-08-19, 0.50
2020-08-18, 0.50
2020-08-17, 0.50
2020-08-14, 0.50
2020-08-13, 0.50
2020-08-12, 0.50
2020-08-11, 0.50
2020-08-10, 0.50
2020-08-07, 0.50
2020-08-06, 0.50
2020-08-05, 0.50
2020-08-04, 0.50
2020-08-03, 0.50
2020-07-31, 0.50
2020-07-30, 0.50
2020-07-29, 0.50
2020-07-28, 0.50
2020-07-27, 0.50
2020-07-24, 0.50
2020-07-23, 0.50
2020-07-22, 0.50
2020-07-21, 0.50
2020-07-20, 0.50
2020-07-17, 0.50
2020-07-16, 0.50
2020-07-15, 0.50
2020-07-14, 0.50
2020-07-13, 0.50
2020-07-10, 0.50
2020-07-09, 0.50
2020-07-08, 0.50
2020-07-07, 0.50
2020-07-06, 0.50
2020-07-03, 0.50
2020-07-02, 0.50
2020-07-01, 0.50
2020-06-30, 0.50
2020-06-29, 0.50
2020-06-26, 0.50
2020-06-25, 0.50
2020-06-24, 0.50
2020-06-23, 0.50
2020-06-22, 0.50
2020-06-19, 0.50
2020-06-18, 0.50
2020-06-17, 0.50
2020-06-16, 0.50
2020-06-15, 0.50
2020-06-12, 0.50
2020-06-11, 0.50
2020-06-10, 0.50
2020-06-09, 0.50
2020-06-08, 0.50
2020-06-05, 0.50
2020-06-04, 0.50
2020-06-03, 0.50
2020-06-02, 0.50
2020-06-01, 0.50
2020-05-29, 0.50
2020-05-28, 0.50
2020-05-27, 0.50
2020-05-26, 0.50
2020-05-25, 0.50
2020-05-22, 0.50
2020-05-21, 0.50
2020-05-20, 0.50
2020-05-19, 0.50
2020-05-18, 0.50
2020-05-15, 0.50
2020-05-14, 0.50
2020-05-13, 0.50
2020-05-12, 0.50
2020-05-11, 0.50
2020-05-08, 0.50
2020-05-07, 0.50
2020-05-06, 0.50
2020-05-05, 0.50
2020-05-04, 0.50
2020-05-01, 0.50
2020-04-30, 0.50
2020-04-29, 0.50
2020-04-28, 0.50
2020-04-27, 0.50
2020-04-24, 0.50
2020-04-23, 0.50
2020-04-22, 0.50
2020-04-21, 0.50
2020-04-20, 0.50
2020-04-17, 0.50
2020-04-16, 0.50
2020-04-15, 0.50
2020-04-14, 0.50
2020-04-13, 0.50
2020-04-10, 0.50
2020-04-09, 0.50
2020-04-08, 0.50
2020-04-07, 0.50
2020-04-06, 0.50
2020-04-03, 0.50
2020-04-02, 0.50
2020-04-01, 0.50
2020-03-31, 0.50
2020-03-30, 0.50
2020-03-27, 0.50
2020-03-26, 1.00
2020-03-25, 1.00
2020-03-24, 1.00
2020-03-23, 1.00
2020-03-20, 1.00
2020-03-19, 1.00
2020-03-18, 1.00
2020-03-17, 1.00
2020-03-16, 1.00
2020-03-13, 1.50
2020-03-12, 1.50
2020-03-11, 1.50
2020-03-10, 1.50
2020-03-09, 1.50
2020-03-06, 1.50
2020-03-05, 1.50
2020-03-04, 1.50
2020-03-03, 2.00
2020-03-02, 2.00
2020-02-28, 2.00
2020-02-27, 2.00
2020-02-26, 2.00
2020-02-25, 2.00
2020-02-24, 2.00
2020-02-21, 2.00
2020-02-20, 2.00
2020-02-19, 2.00
2020-02-18, 2.00
2020-02-17, 2.00
2020-02-14, 2.00
2020-02-13, 2.00
2020-02-12, 2.00
2020-02-11, 2.00
2020-02-10, 2.00
2020-02-07, 2.00
2020-02-06, 2.00
2020-02-05, 2.00
2020-02-04, 2.00
2020-02-03, 2.00
2020-01-31, 2.00
2020-01-30, 2.00
2020-01-29, 2.00
2020-01-28, 2.00
2020-01-27, 2.00
2020-01-24, 2.00
2020-01-23, 2.00
2020-01-22, 2.00
2020-01-21, 2.00
2020-01-20, 2.00
2020-01-17, 2.00
2020-01-16, 2.00
2020-01-15, 2.00
2020-01-14, 2.00
2020-01-13, 2.00
2020-01-10, 2.00
2020-01-09, 2.00
2020-01-08, 2.00
2020-01-07, 2.00
2020-01-06, 2.00
2020-01-03, 2.00
2020-01-02, 2.00
2020-01-01, 2.00
2019-12-31, 2.00
2019-12-30, 2.00
2019-12-27, 2.00
2019-12-26, 2.00
2019-12-25, 2.00
2019-12-24, 2.00
2019-12-23, 2.00
2019-12-20, 2.00
2019-12-19, 2.00
2019-12-18, 2.00
2019-12-17, 2.00
2019-12-16, 2.00
2019-12-13, 2.00
2019-12-12, 2.00
2019-12-11, 2.00
2019-12-10, 2.00
2019-12-09, 2.00
2019-12-06, 2.00
2019-12-05, 2.00
2019-12-04, 2.00
2019-12-03, 2.00
2019-12-02, 2.00
2019-11-29, 2.00
2019-11-28, 2.00
2019-11-27, 2.00
2019-11-26, 2.00
2019-11-25, 2.00
2019-11-22, 2.00
2019-11-21, 2.00
2019-11-20, 2.00
2019-11-19, 2.00
2019-11-18, 2.00
2019-11-15, 2.00
2019-11-14, 2.00
2019-11-13, 2.00
2019-11-12, 2.00
2019-11-11, 2.00
2019-11-08, 2.00
2019-11-07, 2.00
2019-11-06, 2.00
2019-11-05, 2.00
2019-11-04, 2.00
2019-11-01, 2.00
2019-10-31, 2.00
2019-10-30, 2.00
2019-10-29, 2.00
2019-10-28, 2.00
2019-10-25, 2.00
2019-10-24, 2.00
2019-10-23, 2.00
2019-10-22, 2.00
2019-10-21, 2.00
2019-10-18, 2.00
2019-10-17, 2.00
2019-10-16, 2.00
2019-10-15, 2.00
2019-10-14, 2.00
2019-10-11, 2.00
2019-10-10, 2.00
2019-10-09, 2.00
2019-10-08, 2.00
2019-10-07, 2.00
2019-10-04, 2.00
2019-10-03, 2.00
2019-10-02, 2.00
2019-10-01, 2.00
2019-09-30, 2.00
2019-09-27, 2.00
2019-09-26, 2.00
2019-09-25, 2.00
2019-09-24, 2.00
2019-09-23, 2.00
2019-09-20, 2.00
2019-09-19, 2.00
2019-09-18, 2.00
2019-09-17, 2.00
2019-09-16, 2.00
2019-09-13, 2.00
2019-09-12, 2.00
2019-09-11, 2.00
2019-09-10, 2.00
2019-09-09, 2.00
2019-09-06, 2.00
2019-09-05, 2.00
2019-09-04, 2.00
2019-09-03, 2.00
2019-09-02, 2.00
2019-08-30, 2.00
2019-08-29, 2.00
2019-08-28, 2.00
2019-08-27, 2.00
2019-08-26, 2.00
2019-08-23, 2.00
2019-08-22, 2.00
2019-08-21, 2.00
2019-08-20, 2.00
2019-08-19, 2.00
2019-08-16, 2.00
2019-08-15, 2.00
2019-08-14, 2.00
2019-08-13, 2.00
2019-08-12, 2.00
2019-08-09, 2.00
2019-08-08, 2.00
2019-08-07, 2.00
2019-08-06, 2.00
2019-08-05, 2.00
2019-08-02, 2.00
2019-08-01, 2.00
2019-07-31, 2.00
2019-07-30, 2.00
2019-07-29, 2.00
2019-07-26, 2.00
2019-07-25, 2.00
2019-07-24, 2.00
2019-07-23, 2.00
2019-07-22, 2.00
2019-07-19, 2.00
2019-07-18, 2.00
2019-07-17, 2.00
2019-07-16, 2.00
2019-07-15, 2.00
2019-07-12, 2.00
2019-07-11, 2.00
2019-07-10, 2.00
2019-07-09, 2.00
2019-07-08, 2.00
2019-07-05, 2.00
2019-07-04, 2.00
2019-07-03, 2.00
2019-07-02, 2.00
2019-07-01, 2.00
2019-06-28, 2.00
2019-06-27, 2.00
2019-06-26, 2.00
2019-06-25, 2.00
2019-06-24, 2.00
2019-06-21, 2.00
2019-06-20, 2.00
2019-06-19, 2.00
2019-06-18, 2.00
2019-06-17, 2.00
2019-06-14, 2.00
2019-06-13, 2.00
2019-06-12, 2.00
2019-06-11, 2.00
2019-06-10, 2.00
2019-06-07, 2.00
2019-06-06, 2.00
2019-06-05, 2.00
2019-06-04, 2.00
2019-06-03, 2.00
2019-05-31, 2.00
2019-05-30, 2.00
2019-05-29, 2.00
2019-05-28, 2.00
2019-05-27, 2.00
2019-05-24, 2.00
2019-05-23, 2.00
2019-05-22, 2.00
2019-05-21, 2.00
2019-05-20, 2.00
2019-05-17, 2.00
2019-05-16, 2.00
2019-05-15, 2.00
2019-05-14, 2.00
2019-05-13, 2.00
2019-05-10, 2.00
2019-05-09, 2.00
2019-05-08, 2.00
2019-05-07, 2.00
2019-05-06, 2.00
2019-05-03, 2.00
2019-05-02, 2.00
2019-05-01, 2.00
2019-04-30, 2.00
2019-04-29, 2.00
2019-04-26, 2.00
2019-04-25, 2.00
2019-04-24, 2.00
2019-04-23, 2.00
2019-04-22, 2.00
2019-04-19, 2.00
2019-04-18, 2.00
2019-04-17, 2.00
2019-04-16, 2.00
2019-04-15, 2.00
2019-04-12, 2.00
2019-04-11, 2.00
2019-04-10, 2.00
2019-04-09, 2.00
2019-04-08, 2.00
2019-04-05, 2.00
2019-04-04, 2.00
2019-04-03, 2.00
2019-04-02, 2.00
2019-04-01, 2.00
2019-03-29, 2.00
2019-03-28, 2.00
2019-03-27, 2.00
2019-03-26, 2.00
2019-03-25, 2.00
2019-03-22, 2.00
2019-03-21, 2.00
2019-03-20, 2.00
2019-03-19, 2.00
2019-03-18, 2.00
2019-03-15, 2.00
2019-03-14, 2.00
2019-03-13, 2.00
2019-03-12, 2.00
2019-03-11, 2.00
2019-03-08, 2.00
2019-03-07, 2.00
2019-03-06, 2.00
2019-03-05, 2.00
2019-03-04, 2.00
2019-03-01, 2.00
2019-02-28, 2.00
2019-02-27, 2.00
2019-02-26, 2.00
2019-02-25, 2.00
2019-02-22, 2.00
2019-02-21, 2.00
2019-02-20, 2.00
2019-02-19, 2.00
2019-02-18, 2.00
2019-02-15, 2.00
2019-02-14, 2.00
2019-02-13, 2.00
2019-02-12, 2.00
2019-02-11, 2.00
2019-02-08, 2.00
2019-02-07, 2.00
2019-02-06, 2.00
2019-02-05, 2.00
2019-02-04, 2.00
2019-02-01, 2.00
2019-01-31, 2.00
2019-01-30, 2.00
2019-01-29, 2.00
2019-01-28, 2.00
2019-01-25, 2.00
2019-01-24, 2.00
2019-01-23, 2.00
2019-01-22, 2.00
2019-01-21, 2.00
2019-01-18, 2.00
2019-01-17, 2.00
2019-01-16, 2.00
2019-01-15, 2.00
2019-01-14, 2.00
2019-01-11, 2.00
2019-01-10, 2.00
2019-01-09, 2.00
2019-01-08, 2.00
2019-01-07, 2.00
2019-01-04, 2.00
2019-01-03, 2.00
2019-01-02, 2.00
2019-01-01, 2.00
2018-12-31, 2.00
2018-12-28, 2.00
2018-12-27, 2.00
2018-12-26, 2.00
2018-12-25, 2.00
2018-12-24, 2.00
2018-12-21, 2.00
2018-12-20, 2.00
2018-12-19, 2.00
2018-12-18, 2.00
2018-12-17, 2.00
2018-12-14, 2.00
2018-12-13, 2.00
2018-12-12, 2.00
2018-12-11, 2.00
2018-12-10, 2.00
2018-12-07, 2.00
2018-12-06, 2.00
2018-12-05, 2.00
2018-12-04, 2.00
2018-12-03, 2.00
2018-11-30, 2.00
2018-11-29, 2.00
2018-11-28, 2.00
2018-11-27, 2.00
2018-11-26, 2.00
2018-11-23, 2.00
2018-11-22, 2.00
2018-11-21, 2.00
2018-11-20, 2.00
2018-11-19, 2.00
2018-11-16, 2.00
2018-11-15, 2.00
2018-11-14, 2.00
2018-11-13, 2.00
2018-11-12, 2.00
2018-11-09, 2.00
2018-11-08, 2.00
2018-11-07, 2.00
2018-11-06, 2.00
2018-11-05, 2.00
2018-11-02, 2.00
2018-11-01, 2.00
2018-10-31, 2.00
2018-10-30, 2.00
2018-10-29, 2.00
2018-10-26, 2.00
2018-10-25, 2.00
2018-10-24, 2.00
2018-10-23, 1.75
2018-10-22, 1.75
2018-10-19, 1.75
2018-10-18, 1.75
2018-10-17, 1.75
2018-10-16, 1.75
2018-10-15, 1.75
2018-10-12, 1.75
2018-10-11, 1.75
2018-10-10, 1.75
2018-10-09, 1.75
2018-10-08, 1.75
2018-10-05, 1.75
2018-10-04, 1.75
2018-10-03, 1.75
2018-10-02, 1.75
2018-10-01, 1.75
2018-09-28, 1.75
2018-09-27, 1.75
2018-09-26, 1.75
2018-09-25, 1.75
2018-09-24, 1.75
2018-09-21, 1.75
2018-09-20, 1.75
2018-09-19, 1.75
2018-09-18, 1.75
2018-09-17, 1.75
2018-09-14, 1.75
2018-09-13, 1.75
2018-09-12, 1.75
2018-09-11, 1.75
2018-09-10, 1.75
2018-09-07, 1.75
2018-09-06, 1.75
2018-09-05, 1.75
2018-09-04, 1.75
2018-09-03, 1.75
2018-08-31, 1.75
2018-08-30, 1.75
2018-08-29, 1.75
2018-08-28, 1.75
2018-08-27, 1.75
2018-08-24, 1.75
2018-08-23, 1.75
2018-08-22, 1.75
2018-08-21, 1.75
2018-08-20, 1.75
2018-08-17, 1.75
2018-08-16, 1.75
2018-08-15, 1.75
2018-08-14, 1.75
2018-08-13, 1.75
2018-08-10, 1.75
2018-08-09, 1.75
2018-08-08, 1.75
2018-08-07, 1.75
2018-08-06, 1.75
2018-08-03, 1.75
2018-08-02, 1.75
2018-08-01, 1.75
2018-07-31, 1.75
2018-07-30, 1.75
2018-07-27, 1.75
2018-07-26, 1.75
2018-07-25, 1.75
2018-07-24, 1.75
2018-07-23, 1.75
2018-07-20, 1.75
2018-07-19, 1.75
2018-07-18, 1.75
2018-07-17, 1.75
2018-07-16, 1.75
2018-07-13, 1.75
2018-07-12, 1.75
2018-07-11, 1.75
2018-07-10, 1.50
2018-07-09, 1.50
2018-07-06, 1.50
2018-07-05, 1.50
2018-07-04, 1.50
2018-07-03, 1.50
2018-07-02, 1.50
2018-06-29, 1.50
2018-06-28, 1.50
2018-06-27, 1.50
2018-06-26, 1.50
2018-06-25, 1.50
2018-06-22, 1.50
2018-06-21, 1.50
2018-06-20, 1.50
2018-06-19, 1.50
2018-06-18, 1.50
2018-06-15, 1.50
2018-06-14, 1.50
2018-06-13, 1.50
2018-06-12, 1.50
2018-06-11, 1.50
2018-06-08, 1.50
2018-06-07, 1.50
2018-06-06, 1.50
2018-06-05, 1.50
2018-06-04, 1.50
2018-06-01, 1.50
2018-05-31, 1.50
2018-05-30, 1.50
2018-05-29, 1.50
2018-05-28, 1.50
2018-05-25, 1.50
2018-05-24, 1.50
2018-05-23, 1.50
2018-05-22, 1.50
2018-05-21, 1.50
2018-05-18, 1.50
2018-05-17, 1.50
2018-05-16, 1.50
2018-05-15, 1.50
2018-05-14, 1.50
2018-05-11, 1.50
2018-05-10, 1.50
2018-05-09, 1.50
2018-05-08, 1.50
2018-05-07, 1.50
2018-05-04, 1.50
2018-05-03, 1.50
2018-05-02, 1.50
2018-05-01, 1.50
2018-04-30, 1.50
2018-04-27, 1.50
2018-04-26, 1.50
2018-04-25, 1.50
2018-04-24, 1.50
2018-04-23, 1.50
2018-04-20, 1.50
2018-04-19, 1.50
2018-04-18, 1.50
2018-04-17, 1.50
2018-04-16, 1.50
2018-04-13, 1.50
2018-04-12, 1.50
2018-04-11, 1.50
2018-04-10, 1.50
2018-04-09, 1.50
2018-04-06, 1.50
2018-04-05, 1.50
2018-04-04, 1.50
2018-04-03, 1.50
2018-04-02, 1.50
2018-03-30, 1.50
2018-03-29, 1.50
2018-03-28, 1.50
2018-03-27, 1.50
2018-03-26, 1.50
2018-03-23, 1.50
2018-03-22, 1.50
2018-03-21, 1.50
2018-03-20, 1.50
2018-03-19, 1.50
2018-03-16, 1.50
2018-03-15, 1.50
2018-03-14, 1.50
2018-03-13, 1.50
2018-03-12, 1.50
2018-03-09, 1.50
2018-03-08, 1.50
2018-03-07, 1.50
2018-03-06, 1.50
2018-03-05, 1.50
2018-03-02, 1.50
2018-03-01, 1.50
2018-02-28, 1.50
2018-02-27, 1.50
2018-02-26, 1.50
2018-02-23, 1.50
2018-02-22, 1.50
2018-02-21, 1.50
2018-02-20, 1.50
2018-02-19, 1.50
2018-02-16, 1.50
2018-02-15, 1.50
2018-02-14, 1.50
2018-02-13, 1.50
2018-02-12, 1.50
2018-02-09, 1.50
2018-02-08, 1.50
2018-02-07, 1.50
2018-02-06, 1.50
2018-02-05, 1.50
2018-02-02, 1.50
2018-02-01, 1.50
2018-01-31, 1.50
2018-01-30, 1.50
2018-01-29, 1.50
2018-01-26, 1.50
